project_id;Source;Project Name;Entities;Capture or Storage Details;Country;Location;State;Sector Classification;Sector Description;Subsector Classification;Subsector Description;Approx. Latitude;Approx. Longitude;Onshore/Offshore;Capacity (Metric Tons Per Annum);Storage Classification;Storage Description;Year Announced;Year Operational;Status;Notes;Month Announced;Reference;Capture Lead Company;Storage Lead Company;Transport Operator;Storage Capacity (Mt total);Funding Source;Funding Amount (EUR M);EU Funding Program;FID Date;Project Website;approximate_location;source
BE-001;CATF;Anthemis;Heidelberg Materials;Capture from cement facility, using Oxyfuel and Amine capture technologies in a second-generation set-up. Aiming to capture 97% of the plants emissions. MoU signed with Fluxys Belgium to create a CO2 value chain. Partner in the EU2NSEA - EQUINOR;Belgium;Antoing, Belgium;;Industrial;Industrial;Cement;Cement;50.57472325071;3.44337854578555;Onshore;800000;Unknown;Unknown;2023;2029;In Development;IF24Call - Invited to grant agreement preparation;January;https://www.heidelbergmaterials.com/en/pr-2023-01-10;;;;;;;;;;;CATF
BE-002;CATF;GO4ZERO;Holcim (Belgique) SA, Air Liquide ;CO2 capture on Obourg clinker plant using novel flue gas recirculation & concentration-based concept paired with a full CCS solution, aiming to deliver negative emissions clinker. Captured CO2 will then be transported via Fluxys’ network to the Antwerp@C CO2 Export Hub where it will be liquified and shipped for storage under the North Sea.;Belgium;Obourg, Belgium;;Industrial;Industrial;Cement;Cement;50.47345469734;3.99293062636818;Onshore;1000000;Unknown;Unknown;2023;2029;In Development;Selected for Grant Agreement Preparation by the EU Innovation Fund *3rd Round;May;https://www.holcim.be/nl/go4zero-naar-een-koolstofvrije-cementproductie;;;;;;;;;;;CATF
BE-003;CATF;GLOBE (Lhoist Marche-les-Dames CCS);Lhoist;"CCS project for dolime/cement production; post-combustion capture integrated in kiln, CO₂ to Fluxys backbone for export/storage.";Belgium;Marche-les-Dames (Namur);;Industrial;Industrial;Cement;Lime;50.479705;4.976195;Onshore;Unknown;Unknown;Unknown;2024;2031;Planned;"Oxyfuel kiln (Maerz EcoKiln®) with >90% CO₂ exhaust concentration; Phase 2 will add CCS (capture, transport, storage), provider not yet disclosed. €250m investment; first lime CCS in Belgium";May;https://www.lhoist.com/en/globe;;;;;;;;;;;CATF
BE-004;CATF;H2BE;Equinor, ENGIE;Hydrogen production with CO2 storage in the North Sea;Belgium;Ghent, Belgium;;Industrial;Industrial;Hydrogen;Hydrogen;51.159906;3.793096;Onshore;Unknown;Dedicated Saline Storage;Dedicated Saline Storage;2021;;In Development;;;;;;;;;;;;;;CATF
BE-005;CATF;Kairos@C;Air Liquide and BASF;two BASF ethylene oxide units, one BASF ammonia unit, and two Air Liquide hydrogen production units, with CO₂ transported via the Antwerp@C Export Hub to offshore storage in the North Sea;Belgium;Antwerp, Belgium;;Industrial;Industrial;Other Subsector;Hydrogen and chemicals;51.24049;4.40742;Onshore;1500000;Unknown;Unknown;2019;2027;In Development;;;https://kairosatc.eu/;;;;;;;;;;;CATF
BE-006;CATF;Antwerp – ARCaDe;Fluxys, Air Liquide, TotalEnergies;" CO₂ captured from the refinery’s FCC unit at Antwerp; transported by (hybrid LNG) barge Antwerp→Rotterdam, then exported for permanent storage";Belgium;Antwerp, Belgium;;Industrial;Industrial;Other Subsector;Refining;51.219448;4.402464;Onshore;750000;Dedicated Saline Storage;Dedicated Saline Storage;2025;2031;Planned;€ 228m EU Innovation Fund in July 2025 ;July;https://ec.europa.eu/assets/cinea/project_fiches/innovation_fund/101191044.pdf;;;;;;;;;;;CATF
BE-007;CATF;Antwerp@C CO₂ Export Hub;Air Liquide, BASF, Borealis, ExxonMobil, INEOS, TotalEnergies, Fluxys, Port of Antwerp-Bruges;"Port. CO₂ export hub: liquefaction, buffer storage, ship loading; linked to offshore storage";Belgium;Antwerp, Belgium;;Industrial;Industrial;Transport Hub;CO₂ Export Terminal (Port);51.3632;4.293229;Onshore;2500000;;;2022;;Planned;"Liquefaction, buffer storage, and ship export of CO₂ to offshore storage. Initial capacity ~2.5 Mt/yr; scalable to ~10 Mt/yr by 2030; CEF-E funded";;https://www.fluxys.com/en/projects/antwerp-export-hub?utm_source=chatgpt.com;;;;;;;;;;;CATF
BE-008;CATF;CO₂ Hub in Zeebrugge;Fluxys, Equinor;Pipeline to Norway and Bacton UK.;Belgium;Zeebrugge, Belgium;;Industrial;Industrial;Transport Hub;CO₂ Export via Pipeline;51.336565;3.209129;Onshore;20000000;Unknown;Unknown;2022;;Planned;1,000 km CO2 export trunkline operated by Equino. Fluxys’ to operate onshore network at Zeebrugge;;https://www.fluxys.com/en/projects/co2-hub-in-zeebrugge;;;;;;;;;;;CATF
BE-009;CATF;Ghent Carbon Hub;"Fluxys; ArcelorMittal Belgium; North Sea Port";Hub terminal: CO₂ liquefaction, buffer storage, shipping to storage or CCU;Belgium;Ghent, North Sea Port, Belgium;;Industrial;Industrial;Transport Hub;CO₂ Export Terminal (Port);51.122386;3.775469;Onshore;6000000;Unknown;Unknown;2022;2027;Planned;Open-access liquefaction + storage tanks (buffer) + ship loading. €9.6 m CEF-E for studies.;;https://www.fluxys.com/en/press-releases/fluxys-group/2022/220818_press_ghent_carbon_hub?utm_source=chatgpt.com;;;;;;;;;;;CATF
BE-010;CATF;ZESTA (Zero Emission Steelmaking at ArcelorMittal Belgium);"ArcelorMittal Belgium NV, Storm Management; Vestas Wind Systems A/S ";Direct-reduction plant (DRI) + electric arc furnaces (EAF) + hydrogen + CO₂ capture for residual emissions.;Belgium;Ghent, Belgium;;Industrial;Industrial;Other Subsector;Steel;51.19227;3.835637;Onshore;Unknown;Unknown;Unknown;2025;;Planned;The project is expected to avoid around 32 Mt CO₂ over its first ten years of operation. Awarded Grant (Innovation Fund grant signed);;https://ec.europa.eu/assets/cinea/project_fiches/innovation_fund/101191086.pdf?;;;;;;;;;;;CATF
BG-001;CATF;Anrav;Devnya Cement, Petroceltic Bulgaria;Capture from cement plant and offshore storage in the Black Sea;Bulgaria;Bulgaria;;Industrial;Industrial;Cement;Cement;43.234174;27.593969;Onshore;800000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2022;;In Development;Selected by EU Innovation Fund;;https://ec.europa.eu/clima/system/files/2022-07/LSC2_List_of_pre-selected_projects_6.pdf;;;;;;;;;;;CATF
BG-002;CATF;Beli Net Zero;Holcim;First-Of-Its-Kind, Fully Integrated Co2 Capture, Transportation And Onshore Storage Value Chain, Starting From Beli Izvor Cement Plant In Bulgaria;Bulgaria;Bulgaria;;Industrial;Industrial;Cement;Cement;43.28236;23.466038;Onshore;600000;Unknown;Unknown;2024;2030;In Development;The whole value chain for the capture, transport and onshore storage of CO2 in Eastern Europe and the development of onshore storage for CO2 in saline aquifers in the North-West Bulgaria in a proximity of ~10 km from the Beli Izvor cement plant.;;https://strategic-technologies.europa.eu/investors_en;;;;;;;;;;;CATF
BG-003;Manual;Eastern Lights;Fraunhofer, CNRS, CSIC, Air Liquide (Turkey), ON Power, SINTEF, Metier, Citec, DNV and 10 other partners;Research project developing a full CO2 transport and storage value chain using saline aquifers in North West Bulgaria. Cross-border cluster connecting Bulgaria and Romania. 19 partners across 8 countries.;Bulgaria;North West Bulgaria;;Storage;Storage;Storage;Saline Aquifer Storage;43.6;23;Onshore;Unknown;Dedicated Saline Storage;Saline Aquifer;2024;;Research;EU Horizon-funded research project. 19 partners, 8 countries, 4 years duration.;;https://eastern-lights.eu;;;;;EU Horizon;24.2;Horizon Europe;;;;
CH-001;CATF;Limeco Dietikon;Limeco, Aker Carbon Capture;Capture at new waste-to-energy plant in Dietikon, Aker carbon capture conducting feasibility study. CO2 will be liquified for transport by truck or train;Switzerland;Dietikon, Switzerland;;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;47.4160881579893;8.40327303238325;Onshore;Unknown;Unknown;Unknown;2023;;In Development;Aker Carbon Capture awarded feasibility study;December;https://akercarboncapture.com/?cision_id=651C8691C32227C8;;;;;;;;;;;CATF
